"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"A","1","22298","J. M. Huber Corporation","FIXED","Y","G15175","EXPIR","N","1997-01-01","2004-01-21","7.1","62","29.13919155","-92.51169196"
"6","1","23356","J. M. Huber Corporation","WP","N","G03980","TERMIN","N","1989-01-01","2004-01-29","15.1","65","29.143023","-92.491022"
"5","1","23689","J. M. Huber Corporation","CAIS","N","G03980","TERMIN","N","1988-01-01","2004-01-22","16.1","65","29.129166","-92.504816"
"C","1","22369","J. M. Huber Corporation","FIXED","Y","G03499","TERMIN","N","1980-01-01","2006-04-12","26.3","70","29.070958","-93.097403"
"3","1","22831","J. M. Huber Corporation","CAIS","N","G02834","RELINQ","N","1983-01-01","2003-07-18","20.5","75","29.089994","-93.110862"
"GC","1","1911","J. M. Huber Corporation","CAIS","N","00263","RELINQ","N","1965-01-01","","","55","28.99462809","-90.24722392"
"A","1","22557","Marathon Petroleum Company","FIXED","Y","G03333","RELINQ","N","1982-01-01","1984-12-31","3","281","28.174915","-91.365602"
"A","1","22214","Marathon Petroleum Company","FIXED","Y","G02056","TERMIN","N","1977-01-01","1984-12-31","8","191","28.330703","-92.783241"
"1","1","10431","Santa Fe Minerals, Inc.","CAIS","N","G06201","RELINQ","N","1985-01-01","1988-12-31","4","51","29.213267","-93.817167"
"A","1","22995","ATP Oil & Gas Corporation","FIXED","N","G04827","TERMIN","N","1984-01-01","2016-10-25","32.8","63","28.777511","-90.612601"
"C","2","22995","ATP Oil & Gas Corporation","FIXED","Y","G04827","TERMIN","N","1984-01-01","2016-10-25","32.8","63","28.77700508","-90.61260438"
"F","1","23857","ATP Oil & Gas Corporation","FIXED","Y","G04460","TERMIN","N","1990-01-01","1997-05-18","7.4","63","28.76298","-90.678317"
"A","1","23030","ATP Oil & Gas Corporation","FIXED","Y","G04877","TERMIN","N","1984-01-01","2012-09-14","28.7","315","28.162201","-91.193665"
"A","1","22697","ATP Oil & Gas Corporation","FIXED","Y","G04427","TERMIN","N","1982-01-01","2009-09-30","27.7","209","28.304045","-92.441133"
"A","1","22126","ATP Oil & Gas Corporation","FIXED","Y","G02833","TERMIN","N","1978-01-01","2016-05-27","38.4","70","29.107708","-93.085114"
"2","1","23621","ATP Oil & Gas Corporation","FIXED","Y","G06572","TERMIN","N","1986-01-01","2010-12-09","24.9","44","29.425637","-93.150238"
"C","1","23663","ATP Oil & Gas Corporation","FIXED","Y","G21058","TERMIN","N","1986-01-01","2016-09-11","30.7","200","28.267823","-93.002423"
"A","1","23787","ATP Oil & Gas Corporation","FIXED","Y","G09402","TERMIN","N","1993-06-24","2010-11-15","17.4","58","29.290862","-93.10145"
"2","1","26068","ATP Oil & Gas Corporation","CAIS","N","G09614","TERMIN","N","1993-01-01","2011-06-07","18.4","37","28.848232","-91.281527"
"A","1","28006","ATP Oil & Gas Corporation","FIXED","Y","G10226","TERMIN","N","1994-07-06","2016-08-23","22.1","118","28.254571","-95.58529"
"A","1","10394","ATP Oil & Gas Corporation","FIXED","Y","G13295","TERMIN","N","1994-10-22","2011-04-01","16.4","148","27.87130009","-96.39055124"
"A","1","29016","ATP Oil & Gas Corporation","FIXED","Y","G25864","RELINQ","N","1994-01-01","2017-08-18","23.6","106","28.70689707","-93.08573386"
"A","1","29022","ATP Oil & Gas Corporation","FIXED","Y","G11796","RELINQ","N","1995-02-15","2000-08-11","5.5","100","28.69400345","-93.38648575"
"A (REMOVED)","1","10392","EOG Resources, Inc.","FIXED","Y","G14104","EXPIR","N","1994-09-23","1997-07-17","2.8","167","27.62431193","-96.62115901"
"A","1","24182","EOG Resources, Inc.","FIXED","Y","G07870","TERMIN","N","1994-01-01","2010-09-26","16.7","103","29.94922407","-88.16071846"
"A","1","10393","EOG Resources, Inc.","FIXED","Y","G14103","TERMIN","N","1994-11-18","2012-08-31","17.8","154","27.74009911","-96.52304638"
"B","1","10399","EOG Resources, Inc.","WP","N","G14103","TERMIN","N","1995-09-01","2011-07-11","15.9","155","27.73048117","-96.5352851"
"A","1","70002","EOG Resources, Inc.","FIXED","Y","G08770","TERMIN","N","1996-11-11","2010-09-08","13.8","103","29.85805942","-87.90916891"
"A","1","80007","EOG Resources, Inc.","FIXED","Y","G14467","TERMIN","N","1997-07-26","2011-07-31","14","68","28.91020173","-91.76574958"
"B","1","250","EOG Resources, Inc.","FIXED","N","G08151","TERMIN","N","1998-07-22","2006-08-20","8.1","50","29.1036851","-94.43858011"
"B","1","413","EOG Resources, Inc.","FIXED","N","G14467","TERMIN","N","1999-07-12","2011-08-02","12.1","68","28.89821426","-91.76631061"
"C","1","1382","EOG Resources, Inc.","FIXED","Y","G04548","TERMIN","N","2003-12-25","2012-08-25","8.7","90","27.95243519","-96.53725954"
"18","1","20235","Maritech Resources, Inc.","WP","N","00367","PROD","S","1964-01-01","2002-01-12","38","55","29.146401","-89.69028"
"12","1","20236","Maritech Resources, Inc.","WP","N","00367","PROD","S","1960-01-01","2001-12-24","42","63","29.138107","-89.695976"
"6","1","20237","Maritech Resources, Inc.","CAIS","N","00367","PROD","S","1960-01-01","2001-12-29","42","64","29.118424","-89.68774"
"5","1","20238","Maritech Resources, Inc.","CAIS","N","00367","PROD","S","1961-01-01","2001-12-22","41","61","29.123374","-89.687659"
"4","1","20239","Maritech Resources, Inc.","WP","N","G01332","TERMIN","N","1960-01-01","2002-01-13","42","61","29.128981","-89.700747"
"4","1","20240","Maritech Resources, Inc.","CAIS","N","00367","PROD","S","1959-01-01","2002-01-07","43","52","29.146639","-89.687278"
"2","1","20243","Maritech Resources, Inc.","WP","N","00367","PROD","S","1960-01-01","2002-01-10","42","62","29.13085","-89.691671"
"1","1","20244","Maritech Resources, Inc.","WP","N","G01332","TERMIN","N","1963-01-01","2002-01-03","39","61","29.131065","-89.69916"
"1","1","20245","Maritech Resources, Inc.","WP","N","00367","PROD","S","1960-01-01","2002-01-09","42","62","29.130798","-89.687537"
"C","1","20248","Maritech Resources, Inc.","FIXED","Y","G01332","TERMIN","N","1964-01-01","2004-10-17","40.8","59","29.134937","-89.707087"
"A","1","22212","Maritech Resources, Inc.","FIXED","Y","G02185","TERMIN","N","1978-01-01","2004-09-22","26.7","227","28.823904","-89.411733"
"A","1","22753","Maritech Resources, Inc.","FIXED","Y","G04494","TERMIN","N","1982-01-01","2009-04-05","27.3","35","29.768572","-88.7088"
"C","2","22753","Maritech Resources, Inc.","FIXED","Y","G04494","TERMIN","N","1984-01-01","2008-08-28","24.7","35","29.768745","-88.70836"
"A","1","23888","Maritech Resources, Inc.","FIXED","Y","G12092","TERMIN","N","1991-01-01","2009-08-30","18.7","130","29.542857","-88.5622"
"C","1","20605","Maritech Resources, Inc.","FIXED","N","00829","RELINQ","N","1972-01-01","2010-06-12","38.4","113","28.512494","-91.117249"
"A","1","20723","Maritech Resources, Inc.","FIXED","Y","G01036","TERMIN","N","1965-01-01","2012-09-28","47.7","170","28.33145","-91.204913"
"A-AUX","2","20723","Maritech Resources, Inc.","FIXED","Y","G01036","TERMIN","N","1972-01-01","2012-09-28","40.7","170","28.33145","-91.205224"
"4","1","20838","Maritech Resources, Inc.","FIXED","Y","00053","TERMIN","N","1971-01-01","2011-05-10","40.4","52","28.967338","-91.61125"
"C","1","20866","Maritech Resources, Inc.","FIXED","Y","00053","TERMIN","N","1957-01-01","2011-08-01","54.6","52","28.95911769","-91.60799768"
"C-7","2","20866","Maritech Resources, Inc.","WP","N","00053","TERMIN","N","1974-01-01","2011-07-23","37.6","52","28.95951061","-91.60814882"
"F-4","1","20887","Maritech Resources, Inc.","FIXED","Y","00053","TERMIN","N","1964-01-01","2007-08-05","43.6","52","28.968355","-91.614445"
"F","2","20887","Maritech Resources, Inc.","CAIS","N","00053","TERMIN","N","1984-01-01","2007-08-05","23.6","52","28.968402","-91.61422"
"1","1","20943","Maritech Resources, Inc.","CAIS","N","00054","TERMIN","N","1959-01-01","2009-01-02","50","52","28.968973","-91.615885"
"A","1","21243","Maritech Resources, Inc.","FIXED","Y","00580","TERMIN","N","1959-01-01","1981-12-31","23","100","28.647906","-91.507144"
"FH","7","21468","Maritech Resources, Inc.","FIXED","N","","","","1959-01-01","2011-09-12","52.7","45","28.959633","-91.623895"
"CF PROD","1","21468","Maritech Resources, Inc.","FIXED","Y","","","","1959-01-01","2011-09-12","52.7","45","28.959632","-91.62452"
"CF-MP-VALVE","2","21468","Maritech Resources, Inc.","FIXED","Y","","","","1959-01-01","2011-09-12","52.7","45","28.959631","-91.624833"
"CF-GM#1","3","21468","Maritech Resources, Inc.","FIXED","Y","","","","1959-01-01","2004-06-14","45.5","45","28.959355","-91.625144"
"CF-GM#2","4","21468","Maritech Resources, Inc.","FIXED","Y","","","","1959-01-01","2004-06-09","45.4","45","28.959355","-91.625457"
"CF-QTR","5","21468","Maritech Resources, Inc.","FIXED","N","","","","1959-01-01","2011-12-02","52.9","45","28.959359","-91.623581"
"CF-F","6","21468","Maritech Resources, Inc.","FIXED","N","","","","1959-01-01","2011-09-12","52.7","45","28.959633","-91.623895"
"CF-GM#1-Flare","8","21468","Maritech Resources, Inc.","CAIS","N","","","","1972-01-01","2006-04-20","34.3","45","28.95645725","-91.627991"
"C","1","21769","Maritech Resources, Inc.","FIXED","Y","00580","TERMIN","N","1974-01-01","2003-09-26","29.7","100","28.632493","-91.499504"
"A","1","21844","Maritech Resources, Inc.","FIXED","N","G02108","TERMIN","N","1975-01-01","2009-07-21","34.6","221","28.330451","-91.535137"
"B","1","21882","Maritech Resources, Inc.","FIXED","Y","G02108","TERMIN","N","1976-01-01","2009-07-10","33.5","221","28.303871","-91.532832"
"A","1","22109","Maritech Resources, Inc.","FIXED","Y","G13628","TERMIN","N","1978-01-01","2009-05-30","31.4","333","28.131525","-91.452931"
"D","1","22643","Maritech Resources, Inc.","FIXED","Y","00580","TERMIN","N","1982-01-01","2003-09-26","21.7","100","28.649566","-91.499087"
"A","1","22833","Maritech Resources, Inc.","FIXED","Y","G03995","TERMIN","N","1984-01-01","2002-07-27","18.6","97","28.691631","-91.405902"
"5","1","23147","Maritech Resources, Inc.","CAIS","N","00053","TERMIN","N","1984-01-01","2011-05-31","27.4","52","28.965806","-91.611543"
"A","1","23754","Anadarko E&P Company LP","FIXED","Y","G10601","TERMIN","N","1991-01-01","1997-03-30","6.2","285","28.102361","-93.097571"
"A","1","10351","Anadarko E&P Company LP","FIXED","Y","G05975","TERMIN","N","1989-01-01","1995-09-22","6.7","248","26.935262","-96.752502"
"A","1","10593","Anadarko E&P Company LP","FIXED","Y","G13436","TERMIN","N","1994-02-25","1999-08-16","5.5","308","27.96896739","-94.47113088"
"A","1","27004","Anadarko E&P Company LP","CAIS","N","G10633","TERMIN","N","1994-01-01","1998-05-28","4.4","118","28.64914624","-92.99440538"
"A","1","26091","Anadarko E&P Company LP","FIXED","Y","G10782","TERMIN","N","1995-01-01","1998-09-07","3.7","160","28.36710844","-91.15133045"
"1","1","27057","Anadarko E&P Company LP","CAIS","N","G12904","TERMIN","N","1995-12-12","2004-10-27","8.9","52","29.0236","-91.8556"
"#2","1","90012","Anadarko E&P Company LP","CAIS","N","G13885","TERMIN","N","1997-02-12","2001-04-18","4.2","125","28.70799636","-92.35920893"
"1","1","878","Anadarko E&P Company LP","CAIS","N","G08707","TERMIN","N","2001-02-23","2004-11-09","3.7","53","28.7666076","-91.30122872"
"A","1","20195","Noble Energy, Inc.","FIXED","Y","G01676","TERMIN","N","1969-01-01","2010-09-07","41.7","180","29.225415","-88.57607"
"B","1","20445","Noble Energy, Inc.","FIXED","Y","G01676","TERMIN","N","1969-01-01","2010-08-22","41.6","241","29.216809","-88.583035"
"C","1","20446","Noble Energy, Inc.","FIXED","Y","G01676","TERMIN","N","1969-01-01","2007-07-30","38.6","244","29.198178","-88.5834"
"D","1","20447","Noble Energy, Inc.","FIXED","Y","G01677","TERMIN","N","1969-01-01","2007-07-30","38.6","255","29.224917","-88.552566"
"E","1","20449","Noble Energy, Inc.","FIXED","Y","G01677","TERMIN","N","1969-01-01","2007-07-30","38.6","255","29.214886","-88.546572"
"A","1","20450","Noble Energy, Inc.","FIXED","Y","G21712","TERMIN","N","1969-01-01","2007-07-30","38.6","247","29.230669","-88.564345"
"A","1","21984","Noble Energy, Inc.","FIXED","Y","G03177","TERMIN","N","1976-01-01","2006-09-16","30.7","105","28.571986","-90.499623"
"F","1","22220","Noble Energy, Inc.","FIXED","Y","G01677","TERMIN","N","1978-01-01","2010-11-30","32.9","271","29.194832","-88.555279"
"1-A","1","23498","Noble Energy, Inc.","CAIS","N","G05693","TERMIN","N","1988-01-01","2006-09-20","18.7","30","29.287184","-89.058512"
"A","1","23117","Noble Energy, Inc.","FIXED","Y","G00996","TERMIN","N","1985-01-01","2010-07-29","25.6","223","28.30005","-91.671445"
"AJ","1","23677","Noble Energy, Inc.","FIXED","Y","G04794","TERMIN","N","1988-01-01","2005-09-20","17.7","45","28.912133","-92.389035"
"A","1","10285","Noble Energy, Inc.","FIXED","Y","G04081","RELINQ","N","1985-01-01","","","276","28.006372","-94.102363"
"C","1","10296","Noble Energy, Inc.","FIXED","Y","G06085","TERMIN","N","1986-01-01","2011-08-31","25.7","140","28.062749","-95.647655"
"A","1","10424","Noble Energy, Inc.","FIXED","Y","G06085","TERMIN","N","1986-01-01","2011-08-23","25.6","162","28.053052","-95.633117"
"B","1","10462","Noble Energy, Inc.","WP","Y","G06085","TERMIN","N","1985-01-01","2010-08-04","25.6","160","28.053441","-95.611694"
"D","1","10508","Noble Energy, Inc.","FIXED","Y","G06086","TERMIN","N","1990-01-01","2010-08-13","20.6","164","28.070161","-95.576666"
"F","1","10589","Noble Energy, Inc.","WP","N","G08549","TERMIN","N","1993-10-18","2010-06-24","16.7","162","28.035207","-95.662675"
"C","1","10596","Noble Energy, Inc.","WP","N","G03377","TERMIN","N","1994-08-26","2005-06-20","10.8","170","28.405397","-93.811104"
"A","1","24085","Noble Energy, Inc.","FIXED","Y","G09478","TERMIN","N","1994-07-26","","","250","28.164072","-92.862457"
"A","1","27028","Noble Energy, Inc.","FIXED","Y","G09514","TERMIN","N","1995-08-26","","","219","28.2648941","-92.20941753"
"A(Neptune Spar)","1","24235","Noble Energy, Inc.","SPAR","Y","","","","1996-11-19","2023-08-12","26.7","1930","29.16345432","-87.98775824"
"A","1","421","Noble Energy, Inc.","FIXED","N","G12807","TERMIN","N","1999-05-17","2008-06-03","9","273","28.12508824","-93.06075032"
"A","1","884","Noble Energy, Inc.","CAIS","N","G21353","RELINQ","N","2001-03-08","2005-06-20","4.3","108","28.62457656","-93.62782925"
"1","1","23542","ConocoPhillips Company","CAIS","N","G05530","TERMIN","N","1987-01-01","1994-07-14","7.5","10","29.116107","-91.051145"
"2","1","23991","ConocoPhillips Company","CAIS","N","G05530","TERMIN","N","1991-01-01","1994-10-20","3.8","9","29.115199","-91.061684"
"4","1","10005","ConocoPhillips Company","WP","N","00741","TERMIN","N","1964-01-01","1991-06-18","27.5","49","29.268141","-94.116336"
"5","1","10013","ConocoPhillips Company","WP","N","00743","TERMIN","N","1965-10-01","2001-01-22","35.3","51","29.243151","-94.150274"
"5","1","10014","ConocoPhillips Company","WP","N","00741","TERMIN","N","1965-01-01","2001-03-06","36.2","50","29.262084","-94.090092"
"4","1","10016","ConocoPhillips Company","WP","N","00744","TERMIN","N","1965-01-01","2001-03-20","36.2","51","29.224587","-94.116587"
"1","1","10025","ConocoPhillips Company","WP","N","00741","TERMIN","N","1964-01-01","2001-02-20","37.1","49","29.258538","-94.118856"
"2","1","10027","ConocoPhillips Company","WP","N","00742","TERMIN","N","1965-01-01","2001-02-21","36.1","50","29.261224","-94.125844"
"6","1","10029","ConocoPhillips Company","WP","N","00743","TERMIN","N","1965-01-01","1986-12-31","22","52","29.220182","-94.126647"
"1","1","10030","ConocoPhillips Company","WP","N","00743","TERMIN","N","1961-01-01","2001-01-26","40.1","51","29.232327","-94.135374"
"3","1","10046","ConocoPhillips Company","WP","N","00741","TERMIN","N","1964-01-01","1986-12-31","23","50","29.264531","-94.104167"
"4","1","10047","ConocoPhillips Company","WP","N","00742","TERMIN","N","1965-01-01","1975-12-31","11","49","29.257306","-94.138018"
"2","1","10049","ConocoPhillips Company","WP","N","00743","TERMIN","N","1961-01-01","2000-12-20","40","51","29.231897","-94.141925"
"A","1","10092","ConocoPhillips Company","FIXED","Y","G02405","TERMIN","N","1977-01-01","1991-07-09","14.5","192","28.303233","-93.766315"
"A","1","10109","ConocoPhillips Company","FIXED","Y","G02398","TERMIN","N","1978-01-01","1987-12-31","10","165","28.422685","-93.646535"
"A","1","10215","ConocoPhillips Company","WP","N","G04560","TERMIN","N","1982-01-01","1988-04-21","6.3","140","28.105992","-95.705944"
"8","1","20130","ConocoPhillips Company","CAIS","N","00301","TERMIN","N","1968-01-01","1979-12-31","12","38","29.64008","-93.597327"
"6","1","20743","ConocoPhillips Company","CAIS","N","00301","TERMIN","N","1967-01-01","1983-12-31","17","38","29.644335","-93.601"
"7","1","20753","ConocoPhillips Company","CAIS","N","00300","TERMIN","N","1957-01-01","1980-12-31","24","28","29.684017","-93.593517"
"13","1","26137","Gulfstream Resources, Inc.","FIXED","N","00228","TERMIN","N","1998-04-11","1998-04-11","0","20","29.08144048","-91.75659007"
"4","1","21357","Mobil Exploration and Producing North America Inc.","CAIS","N","00797","TERMIN","N","1961-01-01","1990-09-10","29.7","24","29.036645","-91.452094"
"A","1","20641","Mobil Exploration and Producing North America Inc.","FIXED","Y","G02074","TERMIN","N","1972-01-01","1988-10-29","16.8","102","28.813593","-92.602402"
"A-AUX1","2","20641","Mobil Exploration and Producing North America Inc.","FIXED","Y","G02074","TERMIN","N","1973-01-01","1988-10-29","15.8","102","28.813596","-92.60209"
"6","1","21838","Mobil Exploration and Producing North America Inc.","CAIS","N","G02595","TERMIN","N","1975-01-01","1983-12-31","9","23","29.295333","-91.9965"
"4","1","22069","Mobil Exploration and Producing North America Inc.","WP","N","G02596","TERMIN","N","1977-01-01","1977-12-31","1","20","29.292165","-92.046595"
"9","1","22563","Mobil Exploration and Producing North America Inc.","CAIS","N","G02300","TERMIN","N","1982-01-01","1988-10-10","6.8","25","29.311409","-92.058272"
"A","1","22683","Mobil Exploration and Producing North America Inc.","FIXED","Y","G03527","TERMIN","N","1982-01-01","1991-09-30","9.7","41","29.534756","-92.911578"
"G","1","23232","Mobil Exploration and Producing North America Inc.","CAIS","N","00245","TERMIN","N","1986-01-01","1988-03-01","2.2","40","29.596899","-93.178662"
"A","1","20135","Conn Energy, Inc.","FIXED","Y","G00966","TERMIN","N","1971-01-01","2017-04-18","46.3","115","28.625198","-92.891593"
"C-AUX1","2","21338","Conn Energy, Inc.","WP","N","G01997","TERMIN","N","1972-01-01","1990-12-31","19","45","29.399656","-93.282889"
"C","1","21338","Conn Energy, Inc.","FIXED","N","G01997","TERMIN","N","1975-01-01","1990-07-08","15.5","45","29.399652","-93.283203"
"B","1","21440","Conn Energy, Inc.","FIXED","Y","G01997","TERMIN","N","1973-01-01","2001-07-21","28.6","38","29.377115","-93.269468"
"B-AUX1","2","21440","Conn Energy, Inc.","FIXED","Y","G01997","TERMIN","N","1973-01-01","2001-07-21","28.6","38","29.37712","-93.269154"
"B-AUX2","3","21440","Conn Energy, Inc.","FIXED","N","G01997","TERMIN","N","1974-01-01","2001-07-21","27.6","38","29.377111","-93.269781"
"6","1","21750","Conn Energy, Inc.","CAIS","N","G01997","TERMIN","N","1974-01-01","1978-12-31","5","44","29.378884","-93.248724"
"A","1","22151","Conn Energy, Inc.","FIXED","Y","G03381","RELINQ","N","1978-01-01","1990-03-03","12.2","80","28.953442","-93.080932"
"No.14","1","2494","Conn Energy, Inc.","CAIS","N","G01997","TERMIN","N","2012-10-10","2019-01-18","6.3","41","29.39614919","-93.2509155"
"A","1","23744","Santa Fe Energy Operating Partners, L.P.","FIXED","Y","G08409","TERMIN","N","1990-01-01","1994-04-18","4.3","125","28.546734","-93.537306"
"3","1","20555","Union Exploration Partners, Ltd.","CAIS","N","00560","TERMIN","N","1960-01-01","1990-01-27","30.1","25","29.301844","-92.388955"
"4","1","20892","Union Exploration Partners, Ltd.","CAIS","N","G00935","TERMIN","N","1965-01-01","1989-11-04","24.8","60","29.266581","-92.731479"
"3","1","20895","Union Exploration Partners, Ltd.","CAIS","N","G01475","TERMIN","N","1970-01-01","1981-12-31","12","58","29.292235","-92.72368"
"2","1","20924","Union Exploration Partners, Ltd.","CAIS","N","00560","TERMIN","N","1962-01-01","1990-01-25","28.1","26","29.296304","-92.386977"
"4","1","20927","Union Exploration Partners, Ltd.","CAIS","N","00560","TERMIN","N","1967-01-01","1990-01-28","23.1","26","29.295733","-92.380047"
"5","1","22520","Union Exploration Partners, Ltd.","CAIS","N","G01475","TERMIN","N","1981-01-01","1989-11-02","8.8","56","29.303837","-92.721017"
"A","1","21890","Union Exploration Partners, Ltd.","FIXED","Y","G02437","TERMIN","N","1975-01-01","1991-11-22","16.9","343","28.148185","-93.292283"
"A","1","28046","IP Petroleum Company, Inc.","CAIS","N","G13317","TERMIN","N","1996-05-07","2003-03-08","6.8","94","28.59951354","-95.22484423"
"TEMP.CAIS.#1","1","28055","IP Petroleum Company, Inc.","FIXED","Y","G15776","RELINQ","N","1996-08-02","1997-11-18","1.3","50","29.32276097","-94.33785426"
"PLTF.A(MOPU)","2","28055","IP Petroleum Company, Inc.","FIXED","N","G15776","RELINQ","N","1997-01-15","1997-11-15","0.8","50","29.31825714","-94.33799327"
"CAIS.#1","1","40011","IP Petroleum Company, Inc.","FIXED","N","G15771","RELINQ","N","1998-03-01","1999-03-30","1.1","45","29.40881169","-94.11760248"
"B","1","23449","Atlantic Richfield Company","CAIS","N","G04009","RELINQ","N","1988-01-01","1994-01-15","6","74","29.397804","-88.862073"
"1","1","23486","Atlantic Richfield Company","CAIS","N","G05671","TERMIN","N","1984-01-01","1992-05-24","8.4","73","29.118644","-89.824969"
"1","1","23487","Atlantic Richfield Company","CAIS","N","G05672","TERMIN","N","1987-01-01","1992-05-27","5.4","78","29.101021","-89.845789"
"A","1","23492","Atlantic Richfield Company","CAIS","N","G04009","RELINQ","N","1985-01-01","1994-01-22","9.1","72","29.379885","-88.869141"
"1","1","23840","Atlantic Richfield Company","CAIS","N","G07803","TERMIN","N","1990-01-01","1990-12-31","1","56","29.548096","-88.797374"
"3","1","23299","Atlantic Richfield Company","CAIS","N","G03810","TERMIN","N","1987-01-01","1994-10-11","7.8","31","29.018802","-91.529887"
"A","1","22951","Atlantic Richfield Company","FIXED","Y","G03535","TERMIN","N","1984-01-01","1989-07-27","5.6","80","29.042117","-92.747746"
"A","1","10148","Atlantic Richfield Company","FIXED","Y","G02664","TERMIN","N","1980-01-01","1992-11-15","12.9","200","27.82282","-95.989565"
"A","1","10247","Atlantic Richfield Company","FIXED","Y","G06145","TERMIN","N","1984-01-01","1988-10-08","4.8","45","29.418432","-94.156813"
"C","1","10269","Atlantic Richfield Company","CAIS","N","G03242","TERMIN","N","1985-01-01","1990-09-09","5.7","175","28.328363","-94.061435"
"1","1","10423","Atlantic Richfield Company","CAIS","N","G06155","EXPIR","N","1985-01-01","1988-12-31","4","43","29.310576","-93.980251"
"1","1","22515","Atlantic Richfield Company","CAIS","N","G04392","TERMIN","N","1981-01-01","1990-10-26","9.8","51","29.237571","-93.34519"
"4","1","22819","Atlantic Richfield Company","CAIS","N","G03965","TERMIN","N","1983-01-01","1991-02-10","8.1","68","29.11083","-93.184035"
"2","1","23059","Atlantic Richfield Company","CAIS","N","G04758","TERMIN","N","1984-01-01","1990-10-28","6.8","60","29.238932","-93.317883"
"5","1","23256","Atlantic Richfield Company","CAIS","N","G02832","TERMIN","N","1983-01-01","1990-10-30","7.8","60","29.268031","-93.315193"
"A-AUX","1","20643","Union Texas Petroleum Corporation","FIXED","Y","G12352","TERMIN","N","1971-01-01","1995-01-16","24","45","29.147156","-92.528281"
"A","1","24206","ATP Oil & Gas Corporation","FIXED","Y","G05759","TERMIN","N","1994-11-23","2011-07-28","16.7","49","30.06658436","-87.95517706"
"1","1","24226","ATP Oil & Gas Corporation","CAIS","N","G13928","PROD","S","1995-05-24","2003-10-20","8.4","52","28.95391421","-90.36072717"
"A","1","27061","ATP Oil & Gas Corporation","FIXED","Y","G11903","RELINQ","N","1996-09-02","2003-08-09","6.9","362","27.98534632","-92.5892322"
"A","1","90023","ATP Oil & Gas Corporation","FIXED","N","G14430","RELINQ","N","1996-08-19","2003-08-22","7","364","28.01147714","-92.61837563"
"1","1","50013","ATP Oil & Gas Corporation","CAIS","N","G13833","TERMIN","N","1997-04-16","2003-01-10","5.7","58","29.28069599","-93.12351487"
"#5","1","1580","ATP Oil & Gas Corporation","CAIS","N","G02833","TERMIN","N","2004-10-04","2016-05-14","11.6","76","29.09834695","-93.06234936"
"1","1","1623","ATP Oil & Gas Corporation","FIXED","N","G21348","TERMIN","N","2005-03-17","2014-08-12","9.4","30","29.3749472","-93.81908394"
"A","1","33033","ATP Oil & Gas Corporation","FIXED","N","G12906","TERMIN","N","1996-08-03","2017-06-01","20.8","21","29.15106305","-91.75964904"
"A","1","50014","ATP Oil & Gas Corporation","FIXED","Y","G14336","TERMIN","N","1997-04-28","2016-11-09","19.5","128","28.59680423","-93.17862578"
"A","1","90026","ATP Oil & Gas Corporation","FIXED","N","G13896","TERMIN","N","1997-01-02","2006-12-16","10","64","28.97856471","-91.95122205"
"B","1","74","ATP Oil & Gas Corporation","FIXED","N","G10226","TERMIN","N","1997-10-04","2017-08-16","19.9","116","28.25635349","-95.56508722"
"CAIS.#2","1","239","ATP Oil & Gas Corporation","CAIS","N","G13829","TERMIN","N","1998-06-03","2003-01-04","4.6","40","29.53543316","-93.60651741"
"A","1","387","ATP Oil & Gas Corporation","FIXED","Y","G14518","TERMIN","N","1999-01-07","2011-05-21","12.4","66","28.87293181","-90.37430389"
"A","1","546","ATP Oil & Gas Corporation","FIXED","Y","G17212","TERMIN","N","1999-10-15","2005-05-12","5.6","293","28.04163067","-93.66453131"
"B","1","599","ATP Oil & Gas Corporation","FIXED","N","G15145","TERMIN","N","1999-12-18","2007-11-03","7.9","144","28.55761101","-92.79946112"
"A","1","712","ATP Oil & Gas Corporation","FIXED","Y","G16195","TERMIN","N","2000-01-01","2007-09-22","7.7","142","28.49168328","-93.38921454"
"CAIS.#1","1","801","ATP Oil & Gas Corporation","CAIS","N","G15167","RELINQ","N","2000-08-25","2004-08-02","3.9","50","29.30715582","-92.56804917"
"A","1","933","ATP Oil & Gas Corporation","CAIS","Y","G16115","TERMIN","N","2001-04-11","2007-03-18","5.9","43","29.57019437","-93.16225049"
"CAIS.C","1","1262","ATP Oil & Gas Corporation","CAIS","N","G17776","TERMIN","N","2003-03-20","2010-11-14","7.7","105","28.73488317","-93.00973964"
"A","1","1320","ATP Oil & Gas Corporation","FIXED","Y","G21378","TERMIN","N","2003-11-08","2017-05-23","13.5","542","27.8080675","-93.4314275"
"B","1","1392","ATP Oil & Gas Corporation","FIXED","N","G09591","TERMIN","N","2003-11-01","2008-08-22","4.8","189","28.40888144","-91.47159572"
"4","1","1661","ATP Oil & Gas Corporation","CAIS","N","G04827","TERMIN","N","2005-04-17","2010-04-13","5","68","28.7774645","-90.60572557"
"1","1","1706","ATP Oil & Gas Corporation","CAIS","N","G25517","EXPIR","N","2005-06-26","2011-04-01","5.8","117","28.23803611","-95.62254193"
"5","1","1724","ATP Oil & Gas Corporation","CAIS","N","G04827","TERMIN","N","2005-07-01","2010-04-25","4.8","63","28.77691644","-90.60606658"
